Chip 4725.325081
line1: 20.000+20.000i,20.000+88.741i
line2: 20.000+88.741i,88.741+88.741i
line3: 88.741+88.741i,88.741+20.000i
line4: 88.741+20.000i,20.000+20.000i
o1 4725.187600
line1: 20.000+20.000i,88.740+20.000i
line2: 88.740+20.000i,88.740+88.740i
line3: 88.740+88.740i,20.000+88.740i
line4: 20.000+88.740i,20.000+20.000i
o2 0.650590
line1: 49.197+56.695i,56.851+56.695i
line2: 56.851+56.695i,56.851+56.780i
line3: 56.851+56.780i,49.197+56.780i
line4: 49.197+56.780i,49.197+56.695i
o3 0.915620
line1: 46.079+56.411i,56.851+56.411i
line2: 56.851+56.411i,56.851+56.496i
line3: 56.851+56.496i,46.079+56.496i
line4: 46.079+56.496i,46.079+56.411i
o4 1.180650
line1: 42.961+56.128i,56.851+56.128i
line2: 56.851+56.128i,56.851+56.213i
line3: 56.851+56.213i,42.961+56.213i
line4: 42.961+56.213i,42.961+56.128i
o5 1.445680
line1: 39.843+55.844i,56.851+55.844i
line2: 56.851+55.844i,56.851+55.929i
line3: 56.851+55.929i,39.843+55.929i
line4: 39.843+55.929i,39.843+55.844i
o6 0.385560
line1: 52.315+55.561i,56.851+55.561i
line2: 56.851+55.561i,56.851+55.646i
line3: 56.851+55.646i,52.315+55.646i
line4: 52.315+55.646i,52.315+55.561i
o7 53.665728
line1: 20.000+78.678i,50.048+78.678i
line2: 50.048+78.678i,50.048+80.464i
line3: 50.048+80.464i,20.000+80.464i
line4: 20.000+80.464i,20.000+78.678i
o8 19.048103
line1: 49.197+56.652i,50.048+56.652i
line2: 50.048+56.652i,50.048+79.035i
line3: 50.048+79.035i,49.197+79.035i
line4: 49.197+79.035i,49.197+56.652i
o9 48.095194
line1: 20.000+71.478i,46.929+71.478i
line2: 46.929+71.478i,46.929+73.264i
line3: 46.929+73.264i,20.000+73.264i
line4: 20.000+73.264i,20.000+71.478i
o10 13.146270
line1: 46.079+56.369i,46.929+56.369i
line2: 46.929+56.369i,46.929+71.835i
line3: 46.929+71.835i,46.079+71.835i
line4: 46.079+71.835i,46.079+56.369i
o11 42.502635
line1: 20.000+64.278i,43.811+64.278i
line2: 43.811+64.278i,43.811+66.063i
line3: 43.811+66.063i,20.000+66.063i
line4: 20.000+66.063i,20.000+64.278i
o12 7.267500
line1: 42.961+56.085i,43.811+56.085i
line2: 43.811+56.085i,43.811+64.635i
line3: 43.811+64.635i,42.961+64.635i
line4: 42.961+64.635i,42.961+56.085i
o13 36.957698
line1: 20.000+53.477i,40.693+53.477i
line2: 40.693+53.477i,40.693+55.263i
line3: 40.693+55.263i,20.000+55.263i
line4: 20.000+55.263i,20.000+53.477i
o14 0.906270
line1: 39.843+54.906i,40.693+54.906i
line2: 40.693+54.906i,40.693+55.972i
line3: 40.693+55.972i,39.843+55.972i
line4: 39.843+55.972i,39.843+54.906i
o15 5.924162
line1: 20.000+24.677i,23.317+24.677i
line2: 23.317+24.677i,23.317+26.463i
line3: 23.317+26.463i,20.000+26.463i
line4: 20.000+26.463i,20.000+24.677i
o16 59.234476
line1: 24.677+26.463i,53.166+26.463i
line2: 53.166+26.463i,53.166+24.677i
line3: 53.166+24.677i,26.463+24.677i
line4: 26.463+24.677i,26.463+20.000i
line5: 26.463+20.000i,24.677+20.000i
line6: 24.677+20.000i,24.677+26.463i
o17 25.174452
line1: 52.315+26.106i,53.166+26.106i
line2: 53.166+26.106i,53.166+55.688i
line3: 53.166+55.688i,52.315+55.688i
line4: 52.315+55.688i,52.315+26.106i
o18 5.113318
line1: 24.677+85.878i,26.463+85.878i
line2: 26.463+85.878i,26.463+88.741i
line3: 26.463+88.741i,24.677+88.741i
line4: 24.677+88.741i,24.677+85.878i
